RecordID,Age,Gender,City
BUF1201,30,Male,Berlin
AWX595,35,Male,Berlin
AXV619,36,Male,Berlin
BTI1178,31,,Berlin
ASH475,34,Male,Berlin
AYP639,36,Female,Berlin
AMU332,34,Male,Berlin
AWU592,34,Male,Berlin
AIR225,24,Male,Boeblingen
ANT357,26,Male,Karlsruhe
BFJ815,37,Male,Berlin
ATJ503,33,Male,Munich
BTG1176,33,Male,Berlin
BFX829,,Male,Berlin
AFZ155,37,Male,Berlin
AKQ276,38,Male,Munich
AOS382,26,Male,"Riga, Latvia"
BLO976,30,Male,Munich
AHP197,38,Male,Frankfurt
BLB963,26,Male,Berlin
ARV463,35,Female,Stuttgart 
AHO196,40,Male,Munich
BTW1192,35,Female,Munich
BSU1164,29,Male,Berlin
ADN91,30,Male,Munich
APG396,37,Male,Hamburg
BNL1025,28,Female,Berlin
BWC1250,39,Male,Munich
BIF889,30,Male,Berlin
ADS96,28,Male,Berlin
BDN767,36,Male,Frankfurt
AFA130,30,Male,Berlin
BMH995,32,Male,Berlin
BHT877,33,Male,Munich
AKK270,29,Male,Berlin
AZS668,43,Male,Cologne
BSJ1153,32,Male,Copenhagen
BMZ1013,32,Male,Munich
ASG474,34,Male,Tallinn
AII216,36,Female,Berlin
ASA468,31,Female,Berlin
BDE758,26,Male,Berlin
ACZ77,33,Male,Frankfurt
BII892,35,Male,Berlin
AXT617,42,Male,Wroclaw
BLA962,36,Male,Hamburg
BML999,40,Male,Hildesheim
BJP925,26,Male,Amsterdam
AJW256,29,Male,Munich
BTT1189,36,Male,Berlin
AFV151,42,Female,Berlin
AXE602,36,Male,Berlin
BPF1071,34,Male,Munich
AKI268,32,Female,Stuttgart
AKL271,37,Male,Berlin
AVQ562,28,Male,Rome
BEM792,28,Male,Berlin
ARZ467,36,Male,Munich
AFH137,42,Male,Berlin
BCC730,35,Female,Frankfurt
BCF733,27,Male,Munich
AGY180,32,Male,Berlin
AGG162,42,Male,Berlin
BOB1041,26,Male,Berlin
BPO1080,25,Male,Hamburg
AOV385,26,Male,Hamburg
ANJ347,27,Male,Munich
ADP93,27,Female,Hamburg
AJJ243,33,Male,Munich
ANP353,29,Male,Munich
BGW854,27,Female,Berlin
BFQ822,27,Male,Berlin
AFN143,35,Male,Berlin
BNR1031,23,Female,Berlin
BBE706,41,Male,Berlin
AWG578,25,Male,Berlin
APM402,27,Female,Berlin
BIS902,36,Male,Dortmund
AAF5,32,Male,Berlin
AFU150,25,Male,Berlin
BRP1133,31,Female,Berlin
BFE810,37,Male,Berlin
ARS460,32,Male,Hamburg
AMF317,26,Male,Frankfurt
BDM766,31,Female,Berlin
ASL479,28,Male,Berlin
ALO300,,Male,Berlin
ANK348,27,Male,Munich
BJI918,43,Male,Berlin
AFK140,35,Male,Berlin
BIO898,28,Male,London
ASC470,28,Male,Berlin
AQJ425,26,Male,London
BAL687,32,Female,Munich
BEW802,28,Male,Munich
ACJ61,28,Male,Munich
AWO586,32,Male,Cologne
BJW932,30,Female,Stockholm
BVF1227,34,Male,Berlin
AXJ607,31,Male,Munich
AVP561,35,Male,Berlin
BCL739,42,Female,Berlin
ATE498,31,Male,Hamburg
BVS1240,31,Female,Berlin
AFM142,35,Male,Berlin
BVB1223,45,Male,Munich
BHP873,34,Female,Berlin
BKK946,35,Male,Frankfurt
BMW1010,25,Male,Hamburg
BNI1022,34,Male,Berlin
BJQ926,34,Male,Stuttgart 
AMD315,44,Male,Stuttgart
BLJ971,29,Male,Berlin
AXB599,35,Male,Berlin
BFA806,38,Male,Berlin
AFD133,36,Male,Berlin
ACH59,66,Male,Munich
AYK634,41,Male,Berlin
ATR511,33,Male,Berlin
ADI86,31,Male,Berlin
AUN533,32,Male,Munich
BMB989,40,Male,Mannheim
BCX751,40,Male,Berlin
BRO1132,30,Male,Berlin
BKO950,29,Male,Bonn
BBN715,30,Male,Berlin
BNK1024,26,Female,Hannover
BLC964,36,Male,Munich
BGQ848,,Female,Berlin
BCI736,28,Male,Berlin
AHT201,30,Male,Rosenheim
BFT825,28,Male,Berlin
BVH1229,25,Male,Berlin
ANZ363,28,Male,Munich
AEJ113,,Male,Berlin
BUG1202,27,Male,Krakow
AIU228,32,Male,Berlin
AGE160,34,Male,Vienna
AIS226,25,Male,Stuttgart
ASO482,32,Male,Berlin
AQS434,32,Male,Munich
AZO664,30,Male,Berlin
BIG890,32,Female,Berlin
AVU566,25,Male,Berlin
BDK764,31,Male,Berlin
BFB807,35,Male,Berlin
